ID,regaty,klub,miejsceWRegatach
42922493,34461511,OKZ,1
3575124,34461511,YCG,2
34152666,34461511,LEG,3
17670233,34461511,YKP,4
60121887,34461511,ISK,5
90049811,34461511,JMZ,6
44653842,34461511,GIZ,7
21430901,34461511,POG,8
5679194,34461511,PGR,9
59665388,34461511,YCS,10
21977468,34461511,SPO,11
53873669,34461511,SZT,12
72929624,34461511,DZY,13
40121817,34461511,ODY,14
89211029,34461511,PJK,15
88532932,34461511,WOL,16
2068918,34461511,JSG,17
94385318,34461511,GAR,18
43344335,53378923,YKP,1
92751242,53378923,YCG,2
61550108,53378923,LEG,3
25086411,53378923,POG,4
72171877,53378923,OKZ,5
97813426,53378923,SZT,6
88883353,53378923,ISK,7
7824391,53378923,PGR,8
16174766,53378923,GAR,9
36414254,53378923,YCS,10
85880307,53378923,ODY,11
31751656,53378923,SPO,12
75571782,53378923,DZY,13
72010777,53378923,JSG,14
31421873,53378923,JMZ,15
71497059,53378923,WOL,16
98824431,53378923,PJK,17
16459683,53378923,GIZ,18
62072041,16116614,YKP,1
23871647,16116614,LEG,2
54671566,16116614,GAR,3
82294354,16116614,YCG,4
98379452,16116614,SZT,5
26915929,16116614,SPO,6
28866237,16116614,GIZ,7
57376649,16116614,PGR,8
92661324,16116614,POG,9
74300151,16116614,ISK,10
91032589,16116614,OKZ,11
68939550,16116614,ODY,12
85005824,16116614,JMZ,13
14962917,16116614,JSG,14
52323969,16116614,PJK,15
22289988,16116614,WOL,16
91354113,16116614,DZY,17
58134079,16116614,YCS,18
50825342,21078561,BLX,1
19359393,21078561,YCG,2
30812170,21078561,LEG,3
30877714,21078561,AWF,4
70909494,21078561,YKS,5
18702872,21078561,WRO,6
92014902,21078561,WAT,7
91175278,21078561,JNG,8
31297479,21078561,POG,9
6281457,21078561,ISK,10
99063718,21078561,SZT,11
22856143,21078561,YCS,12
28341066,21078561,YCB,13
64028840,21078561,SPO,14
1134681,21078561,GAR,15
34109948,21078561,GGR,16
46947209,21078561,PGR,17
93897887,21078561,ODY,18
94285657,4685116,BLX,1
27973874,4685116,LEG,2
41138250,4685116,POG,3
51600343,4685116,PGR,4
70585511,4685116,YCG,5
41752906,4685116,AWF,6
81108075,4685116,YKS,7
37191169,4685116,WAT,8
85266529,4685116,ISK,9
46070691,4685116,SZT,10
54241281,4685116,SPO,11
26270971,4685116,YCB,12
53149134,4685116,WRO,13
1443982,4685116,JNG,14
95192506,4685116,GGR,15
42858017,4685116,YCS,16
27135736,4685116,ODY,17
46285992,4685116,GAR,18
68768819,9923664,BLX,1
56776999,9923664,JNG,2
74137755,9923664,YCG,3
61048632,9923664,YCS,4
68397496,9923664,WAT,5
99486788,9923664,POG,6
85790277,9923664,GGR,7
57199081,9923664,WRO,8
54678889,9923664,ISK,9
52731507,9923664,LEG,10
84651022,9923664,AWF,11
94609136,9923664,PGR,12
2369723,9923664,YKS,13
36697145,9923664,GAR,14
62562186,9923664,SZT,15
19086004,9923664,SPO,16
55710071,9923664,YCB,17
52755936,9923664,ODY,18
69666213,15498062,AWF,1
21804376,15498062,PGR,2
23898493,15498062,WAT,3
65343905,15498062,BLX,4
84819313,15498062,GGR,5
50075517,15498062,JNG,6
2635880,15498062,ISK,7
44099311,15498062,LEG,8
